timeDeltas	HMD	RightTracker	LeftTracker
421553	0,319 1,721 0,159 -0,315 0,003 -0,041 0,948	0,269 1,249 0,597 -0,351 -0,193 -0,144 0,905	0,098 1,244 0,379 -0,375 -0,187 -0,029 0,907
421575	0,318 1,721 0,154 -0,326 0,002 -0,043 0,944	0,269 1,251 0,598 -0,355 -0,193 -0,144 0,904	0,097 1,246 0,382 -0,378 -0,185 -0,024 0,907
421585	0,318 1,721 0,154 -0,326 0,002 -0,043 0,944	0,269 1,251 0,598 -0,355 -0,193 -0,144 0,904	0,097 1,246 0,382 -0,378 -0,185 -0,024 0,907
421599	0,318 1,721 0,154 -0,326 0,002 -0,043 0,944	0,269 1,251 0,598 -0,355 -0,193 -0,144 0,904	0,097 1,246 0,382 -0,378 -0,185 -0,024 0,907
421624	0,318 1,721 0,154 -0,326 0,002 -0,043 0,944	0,269 1,251 0,598 -0,354 -0,193 -0,144 0,904	0,097 1,246 0,382 -0,378 -0,185 -0,025 0,907
421634	0,318 1,721 0,154 -0,326 0,002 -0,043 0,944	0,269 1,251 0,598 -0,354 -0,193 -0,144 0,904	0,097 1,246 0,382 -0,378 -0,185 -0,025 0,907
421659	0,318 1,721 0,154 -0,326 0,002 -0,043 0,944	0,269 1,251 0,598 -0,354 -0,193 -0,144 0,904	0,097 1,246 0,382 -0,378 -0,185 -0,025 0,907
421670	0,318 1,721 0,151 -0,329 0,007 -0,044 0,943	0,270 1,254 0,597 -0,359 -0,193 -0,145 0,901	0,098 1,248 0,385 -0,379 -0,180 -0,022 0,907
421699	0,318 1,721 0,151 -0,329 0,007 -0,044 0,943	0,270 1,254 0,597 -0,359 -0,193 -0,145 0,901	0,098 1,248 0,385 -0,379 -0,180 -0,022 0,907
421711	0,318 1,721 0,151 -0,329 0,008 -0,044 0,943	0,271 1,254 0,596 -0,360 -0,193 -0,145 0,901	0,099 1,248 0,385 -0,379 -0,180 -0,022 0,907
421721	0,318 1,721 0,151 -0,329 0,008 -0,044 0,943	0,271 1,254 0,596 -0,360 -0,193 -0,145 0,901	0,099 1,248 0,385 -0,379 -0,180 -0,022 0,907
421745	0,319 1,721 0,149 -0,330 0,016 -0,046 0,943	0,271 1,255 0,597 -0,361 -0,191 -0,145 0,901	0,099 1,249 0,388 -0,380 -0,176 -0,021 0,908
421763	0,319 1,721 0,149 -0,330 0,016 -0,046 0,943	0,271 1,255 0,597 -0,361 -0,191 -0,145 0,901	0,099 1,249 0,388 -0,380 -0,176 -0,021 0,908
421785	0,319 1,721 0,149 -0,330 0,016 -0,046 0,943	0,271 1,255 0,597 -0,361 -0,191 -0,145 0,901	0,099 1,249 0,388 -0,380 -0,176 -0,021 0,908
